playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
bruceja01,2010,1,CIN,NL,OF,146,133,3598,343,7,3,1,,,,,
brunebr01,2010,1,WAS,NL,P,19,0,53,1,2,1,0,,,,,
buchhcl01,2010,1,BOS,AL,P,28,28,521,21,24,2,1,,,,,
buchhta01,2010,1,COL,NL,P,7,0,30,1,0,0,0,,,,,
buchhta01,2010,2,TOR,AL,P,2,0,6,0,0,0,0,,,,,
buckjo01,2010,1,TOR,AL,C,112,104,2799,733,40,5,6,4,,47,18,
bucknbi02,2010,1,ARI,NL,P,3,3,39,3,1,0,0,,,,,
bucktr01,2010,1,OAK,AL,OF,13,13,343,16,0,0,0,,,,,
buddery01,2010,1,LAA,AL,C,6,3,90,35,2,0,1,2,,5,1,
buehrma01,2010,1,CHA,AL,P,33,33,631,4,46,0,4,,,,,
buentja01,2010,1,FLO,NL,P,8,0,33,2,1,0,0,,,,,
bulgeja01,2010,1,LAA,AL,P,25,0,72,3,1,0,0,,,,,
bullibr01,2010,1,KCA,AL,P,13,5,128,6,2,2,1,,,,,
bumgama01,2010,1,SFN,NL,P,18,18,333,3,10,1,0,,,,,
burkeja02,2010,1,WAS,NL,C,1,0,3,1,0,0,0,0,,0,0,
burneaj01,2010,1,NYA,AL,P,33,33,560,9,16,4,1,,,,,
burneal01,2010,1,MIN,AL,P,41,0,143,1,5,1,0,,,,,
burnese01,2010,1,WAS,NL,P,73,0,189,5,12,0,0,,,,,
burrebr01,2010,1,PIT,NL,P,20,13,238,0,13,0,0,,,,,
burrepa01,2010,2,SFN,NL,OF,87,86,1896,121,4,2,0,,,,,
burriem01,2010,1,SFN,NL,2B,5,0,36,3,1,0,0,,,,,
burtoja01,2010,1,CIN,NL,P,4,0,10,1,0,0,0,,,,,
bushda01,2010,1,MIL,NL,P,32,31,523,7,14,1,1,,,,,
buterdr01,2010,1,MIN,AL,C,47,44,1184,301,26,5,3,4,,21,16,
butlebi03,2010,1,KCA,AL,1B,127,126,3307,1002,96,6,101,,,,,
byrdati01,2010,1,HOU,NL,P,64,0,116,0,3,0,0,,,,,
byrdma01,2010,1,CHN,NL,OF,151,144,3785,371,6,3,2,,,,,
byrneer01,2010,1,SEA,AL,OF,11,8,255,28,0,0,0,,,,,
cabreas01,2010,1,CLE,AL,SS,95,94,2476,148,271,12,73,,,,,
cabreev01,2010,1,SDN,NL,2B,6,5,132,7,15,0,3,,,,,
cabreev01,2010,1,SDN,NL,SS,61,50,1368,63,137,7,30,,,,,
cabrefe01,2010,1,BOS,AL,P,1,0,4,0,0,0,0,,,,,
cabreme01,2010,1,ATL,NL,OF,136,115,3192,213,8,4,2,,,,,
cabremi01,2010,1,DET,AL,1B,148,148,3856,1218,96,13,133,,,,,
cabreor01,2010,1,CIN,NL,SS,121,119,3092,165,300,11,60,,,,,
cahiltr01,2010,1,OAK,AL,P,30,30,590,6,54,1,2,,,,,
cainlo01,2010,1,MIL,NL,OF,39,36,970,101,3,2,2,,,,,
cainma01,2010,1,SFN,NL,P,33,33,670,9,24,2,0,,,,,
cairomi01,2010,1,CIN,NL,1B,14,9,300,97,4,1,14,,,,,
cairomi01,2010,1,CIN,NL,2B,6,2,78,3,8,0,1,,,,,
cairomi01,2010,1,CIN,NL,3B,37,26,725,17,29,2,4,,,,,
