yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2010,SDN,NL,blankky01,33,29,33,32,0,0,4,0,0,0,30,0,0,30,0,1,0
2010,PHI,NL,blantjo01,29,28,28,29,29,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,blevije01,63,0,4,63,63,0,0,0,0,0,0,0,0,0,0,0,0
2010,CIN,NL,bloomwi01,11,3,11,9,0,0,0,2,0,0,3,0,5,8,0,4,2
2010,KCA,AL,bloomwi01,72,41,72,51,0,0,3,4,11,1,6,8,22,35,11,8,17
2010,HOU,NL,blumge01,93,42,93,53,0,0,14,8,14,18,0,0,0,0,0,45,0
2010,PHI,NL,bococbr01,6,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,2
2010,DET,AL,boescbr01,133,124,133,118,0,0,0,0,0,0,44,0,79,118,14,5,2
2010,TEX,AL,boggsbr01,4,2,4,4,0,0,0,0,0,0,1,0,3,4,0,1,0
2010,SLN,NL,boggsmi01,61,0,58,61,61,0,0,0,0,0,0,0,0,0,0,0,0
2010,HOU,NL,bogusbr01,19,5,19,11,0,0,0,0,0,0,7,3,2,11,0,11,0
2010,DET,AL,bondeje01,30,29,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2010,FLO,NL,bonifem01,73,37,73,47,0,0,0,5,6,9,7,17,6,29,0,23,7
2010,DET,AL,bonined01,47,1,3,47,47,0,0,0,0,0,0,0,0,0,0,0,0
2010,BOS,AL,bonsebo01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,bonsebo01,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2010,TEX,AL,borboju01,137,122,137,133,0,0,0,0,0,0,1,133,0,133,2,1,4
2010,ATL,NL,boscajc01,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,HOU,NL,bourgja01,69,23,69,49,0,0,0,2,0,0,25,24,1,48,0,23,8
2010,LAA,AL,bourjpe01,51,49,51,51,0,0,0,0,0,0,0,51,0,51,0,0,0
2010,HOU,NL,bournmi01,141,133,141,138,0,0,0,0,0,0,0,138,0,138,0,4,2
2010,BOS,AL,bowdemi01,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,bowerce01,14,0,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2010,PIT,NL,bowkejo01,26,19,26,20,0,0,5,0,0,0,1,0,16,16,0,7,0
2010,SFN,NL,bowkejo01,41,18,41,24,0,0,0,0,0,0,16,0,8,24,0,20,0
2010,ARI,NL,boyerbl01,54,0,51,54,54,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,braddza01,46,0,44,46,46,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,bradeda01,30,30,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2010,SEA,AL,bradlmi01,73,67,73,40,0,0,0,0,0,0,39,0,1,40,28,6,0
2010,CLE,AL,brantmi02,72,69,72,72,0,0,0,0,0,0,7,65,0,72,0,2,0
2010,CLE,AL,branyru01,52,44,52,47,0,0,47,0,0,0,0,0,0,0,1,8,0
