playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cashnan01,2010,1,CHN,NL,53,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
casilal01,2010,1,MIN,AL,69,152,26,42,7,4,1,20,6,1,13,17,0,0,4,1,5
cassebo01,2010,1,LAA,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castial02,2010,1,BAL,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castilu01,2010,1,NYN,NL,86,247,28,58,4,2,0,17,8,3,39,25,1,0,11,2,6
castiwe01,2010,1,CHN,NL,7,20,3,6,4,0,1,5,0,0,1,7,0,0,0,0,0
castrja01,2010,1,HOU,NL,67,195,26,40,8,1,2,8,0,0,22,41,2,0,0,0,4
castrju01,2010,1,PHI,NL,54,126,7,25,5,0,0,13,0,1,7,23,0,0,1,2,1
castrra01,2010,1,CHA,AL,37,115,18,32,2,0,8,21,1,0,9,26,0,0,3,1,3
castrst01,2010,1,CHN,NL,125,463,53,139,31,5,3,41,10,8,29,71,7,6,4,4,14
catalfr01,2010,1,NYN,NL,25,25,2,4,1,0,0,1,0,0,1,5,0,0,0,0,0
cecilbr01,2010,1,TOR,AL,28,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
cedajo01,2010,1,FLO,NL,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
cedenro02,2010,1,PIT,NL,139,468,42,120,29,3,8,38,12,3,23,106,4,2,7,2,10
cervefr01,2010,1,NYA,AL,93,266,27,72,11,3,0,38,1,1,33,42,1,6,8,4,7
chacigu01,2010,1,HOU,NL,44,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
chacijh01,2010,1,COL,NL,28,40,0,3,0,0,0,1,0,0,1,9,0,0,4,0,0
chambjo03,2010,1,NYA,AL,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapmar01,2010,1,CIN,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaveer01,2010,1,OAK,AL,33,111,10,26,8,0,1,10,0,0,8,31,0,0,0,4,3
chaveje01,2010,1,ATL,NL,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chenbr01,2010,1,KCA,AL,33,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
chicoma01,2010,1,WAS,NL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
choatra01,2010,1,TBA,AL,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choosh01,2010,1,CLE,AL,144,550,81,165,31,2,22,90,22,7,83,118,11,11,0,2,11
churcry01,2010,1,PIT,NL,69,170,16,31,11,1,3,18,1,0,12,46,0,1,0,0,3
ciriape01,2010,1,PIT,NL,8,6,3,3,1,1,0,1,0,0,0,3,0,0,0,0,0
cishest01,2010,1,FLO,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clemeje01,2010,1,PIT,NL,54,144,11,29,3,0,7,12,0,0,6,37,3,1,1,1,2
clevlbr01,2010,1,ATL,NL,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1
clippty01,2010,1,WAS,NL,78,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
coellro01,2010,1,BOS,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffeto01,2010,1,MIL,NL,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coghlch01,2010,1,FLO,NL,91,358,60,96,20,3,5,28,10,3,33,84,1,4,3,2,3
cokeph01,2010,1,DET,AL,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colemca01,2010,1,CHN,NL,12,20,2,2,1,0,0,2,0,0,1,11,0,0,2,0,0
colomje01,2010,1,SEA,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colonro01,2010,1,KCA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colvity01,2010,1,CHN,NL,135,358,60,91,18,5,20,56,6,1,30,100,2,3,1,2,6
congeha01,2010,1,LAA,AL,13,29,2,5,1,1,0,5,0,0,5,9,0,0,0,0,1
